UVHWP,alpha,unc,HD,HA,VD,VA,HDu,HAu,VDu,VAu
-10.0,73.63088199463299,0.16513012175596356,149.6,94.6,1400.0,1430.4,3.6959437225152656,2.712931993250107,26.262140049889307,11.263214461245067
-8.775510204081632,75.70049185358434,0.1690734841302002,122.6,68.6,1435.0,1508.0,3.9698866482558417,2.2934689882359427,10.540398474441087,13.24009063413087
-7.551020408163265,77.67362423233944,0.286105709767469,88.0,51.0,1404.8,1506.2,6.204836822995428,2.0,25.977682729604656,10.781465577554842
-6.326530612244898,79.33843449006169,0.1519983788965964,66.4,38.2,1441.8,1509.6,1.8601075237738274,1.9339079605813716,29.1022335912555,28.964806231010762
-5.1020408163265305,81.6871146833434,0.2804280931312309,45.8,19.2,1490.0,1554.6,3.865229618017537,2.154065922853801,12.653062870309308,16.76484416867631
-3.8775510204081627,83.25244990379525,0.19298110987021672,30.4,12.6,1484.2,1587.6,1.5033296378372907,1.9390719429665315,14.870776711389356,22.533530571128882
-2.6530612244897958,84.83543854063056,0.21126826090822648,15.6,9.2,1510.0,1525.8,1.3638181696985854,1.4966629547095764,14.549914089093447,26.710297639674476
-1.4285714285714288,85.15908130477452,0.2436106760995691,11.4,10.6,1509.2,1558.0,0.6,2.1354156504062622,14.674467622370496,19.031552748002458
-0.204081632653061,85.00076793853287,0.28468295874153693,9.8,13.8,1526.6,1557.6,1.6248076809271919,2.154065922853801,14.274452704044382,10.31309846748299
1.0204081632653068,83.34727343283116,0.2466642213689549,11.4,30.0,1506.2,1537.0,2.014944167960988,2.345207879911715,9.281163720137684,10.435516278555651
2.2448979591836746,81.64650078386839,0.16322157235296986,22.8,42.6,1507.4,1525.8,0.9695359714832658,2.3790754506740637,7.852388171760231,14.026403673073151
3.4693877551020407,79.71333044695851,0.18903773026380144,39.4,58.0,1471.6,1485.4,1.9390719429665315,2.9154759474226504,28.999310336626973,13.847743498491006
4.6938775510204085,77.53736718274574,0.15736436868802167,53.4,89.2,1453.6,1465.8,2.9765752132274432,1.8275666882497066,23.391451429956202,11.456002793295749
5.918367346938776,75.25920685901112,0.1817640526736025,76.0,122.8,1420.4,1451.4,3.714835124201342,3.1843366656181313,10.166612021711067,19.592345444075857
7.142857142857142,73.3279488978558,0.19744746033107471,104.6,148.2,1409.8,1408.8,1.8601075237738274,5.944745579080739,4.004996878900157,12.527569596693525
8.367346938775512,71.54297956600597,0.2061214474583975,130.6,172.8,1366.0,1357.6,2.803569153775237,6.077828559609097,21.64948036327893,13.385066305401702
9.591836734693878,68.91133265256323,0.19430727504331083,177.8,218.0,1339.8,1321.6,3.992492955535426,6.730527468185535,7.742092740338364,7.896834808959854
10.816326530612244,66.14176985920723,0.10663682200286335,219.4,271.4,1252.6,1256.6,2.481934729198171,3.3555923471125033,4.534313619501853,12.714558584551805
12.040816326530614,64.35869730105836,0.26963248078347746,245.4,320.8,1221.8,1235.6,10.865541864076544,6.851277253184255,11.980818002123227,16.225288903437125
13.26530612244898,61.87398164814029,0.2536870221236122,305.8,358.0,1168.2,1155.0,7.709734106958553,8.031189202104505,18.73339264522046,24.074883177286655
14.48979591836735,59.29811865823742,0.2604116907012874,370.2,407.0,1110.2,1094.0,7.831985699680509,10.639548862616309,12.338557452149743,22.954302428956538
15.714285714285715,57.093852395142676,0.2279178974826949,407.0,482.6,1069.2,1055.4,9.6850400102426,5.714892824891819,23.567774608562427,9.831581764904364
16.93877551020408,54.85381011384581,0.2479769175194362,450.2,516.0,995.4,954.0,8.528774824088158,13.088162590677118,13.366375724181928,10.63014581273465
18.16326530612245,52.48756287840039,0.21626579269818755,528.2,571.0,948.0,917.2,10.34117981663601,11.789826122551597,9.736529155710468,6.843975452907468
19.387755102040817,49.790806300742695,0.17847334824780253,592.4,639.0,885.0,838.2,6.438944012802099,6.0,9.934787365615835,14.957941034781488
20.612244897959183,47.98350938668518,0.23494115149029113,631.8,670.6,823.4,781.2,17.165080832900262,8.559205570612264,9.047651629014016,7.742092740338364
21.836734693877553,45.209285130499076,0.19594583492834333,687.2,739.6,745.2,702.6,13.365627557282897,3.0430248109405875,8.662563131083084,11.124747188138706
23.06122448979592,42.95711687502381,0.200098595440144,739.6,800.0,687.6,647.2,8.201219421525069,14.771594362153326,5.870264048575668,10.02197585309404
24.285714285714285,40.71255378214215,0.24784900365207752,809.8,841.0,619.2,603.2,13.650641010589942,16.272676485446393,12.563439019631526,7.234638899074369
25.51020408163265,38.06310043015106,0.2140942174273469,858.8,910.0,550.2,534.4,12.039102956615993,6.848357467305573,10.873821775254548,9.405317644821997
26.734693877551024,35.42118139152152,0.22831992026299758,930.0,938.6,496.8,448.4,13.627178724886527,11.178550889985697,9.393614852653903,9.309135298189622
27.95918367346939,33.12972963649541,0.17849854932511589,1008.8,979.8,438.2,408.8,7.378346698278687,11.381564040148435,6.199999999999999,7.819207120929846
29.183673469387756,31.12119411477174,0.208504208169197,1033.4,1036.8,390.0,364.6,13.336416310238668,15.392855485581611,7.2180329730474355,6.8454364360499325
30.408163265306122,28.31342743611131,0.2226907844223328,1093.4,1074.4,322.6,306.6,10.303397497913005,16.71705715728698,7.4404300950953095,7.025667228100118
31.632653061224488,26.312646488818416,0.1940742242317894,1124.0,1117.8,288.6,259.6,18.939376969689366,13.369367973094313,5.24022900262956,5.2687759489277965
32.85714285714286,23.790533255126725,0.14680239113102855,1158.8,1157.6,236.2,214.0,12.49159717570175,14.396527359054334,4.586937976471885,2.073644135332772
34.08163265306123,21.34337660240904,0.12304393705628028,1206.2,1176.4,194.6,169.2,8.404760555780276,8.784076502399099,1.6911534525287761,3.865229618017537
35.30612244897959,19.333253327201025,0.17974270265957318,1231.2,1194.6,160.0,138.6,9.981983770774223,8.109253973085318,4.636809247747851,3.4583232931581165
36.53061224489796,16.690671226215372,0.2107824071114219,1241.8,1232.0,114.4,108.0,12.745195173083856,19.91983935678197,4.3886216514983385,3.4058772731852804
37.755102040816325,14.91587011004369,0.22095171153838813,1297.4,1273.2,94.4,88.0,8.152300288875526,7.657675887630658,3.8026306683663087,4.110960958218893
38.9795918367347,12.972590689879638,0.2697720259801307,1351.6,1279.0,76.2,63.4,25.50803794885055,13.061393493804557,5.151698748956503,2.694438717061496
40.204081632653065,10.798029714421519,0.1935747010909329,1365.6,1312.0,47.0,50.4,19.04363410696603,13.733171520082315,2.7202941017470885,2.15870331449229
41.42857142857143,9.582024043519349,0.2006310179885252,1360.4,1299.4,36.0,39.8,10.642368157510807,12.560254774486063,2.9154759474226504,1.3190905958272916
42.6530612244898,8.268725249675473,0.33409953594688446,1388.8,1272.2,22.4,33.8,15.49645120664728,1.4628738838327793,2.8913664589601917,3.569313659514949
43.87755102040816,8.365380089175773,0.27233303317744295,1368.0,1305.0,22.6,35.2,14.202112518917739,12.90348790056394,2.874021572639983,2.477902338672773
45.10204081632653,9.827516636039658,0.1852243933917438,1363.0,1296.4,31.4,48.4,11.882760622010359,17.148177745754793,1.8601075237738274,2.357965224510319
46.3265306122449,10.25454311573755,0.18921789436939063,1402.6,1255.6,30.4,56.6,16.393901305058534,18.134497511648895,1.8055470085267786,2.619160170741759
47.55102040816327,12.017583711357167,0.19972431535365587,1372.8,1266.4,45.0,74.6,18.529436041067196,27.015921231747768,3.2249030993194197,2.039607805437114
48.775510204081634,13.999278678357923,0.23090471408918564,1354.6,1238.8,62.4,98.8,13.433540114206677,17.937112365149524,4.237924020083418,3.2771939216347876
50.0,15.863108005712851,0.15262868389667122,1360.6,1217.8,86.0,122.2,9.872183142547549,7.031358332498778,1.224744871391589,3.9166312055132275
