start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_16-45-05,2023-07-17_16-45-10,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,75.00201416015625,45.00244348144531,-0.003549804687509095,48658.4,10454.8,0.0,23183.8,353.8,0.0,1391.0,0.0,121.69535734776407,42.321861962820115,0.0,49.2609378717052,7.585512507405152,0.0,8.893818077743664,0.0,
2023-07-17_16-45-11,2023-07-17_16-45-16,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,76.84298706054688,45.00244348144531,-0.003549804687509095,48711.0,9134.0,0.0,23793.0,251.6,0.0,1400.2,0.0,78.58434958692474,39.45883931389771,0.0,100.80476179228836,8.789766777338292,0.0,20.635891063872183,0.0,
2023-07-17_16-45-17,2023-07-17_16-45-22,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,78.68551635742188,45.00244348144531,-0.003549804687509095,48654.0,8012.8,0.0,24130.4,196.6,0.0,1434.2,0.0,106.84287528890262,32.23879650359175,0.0,65.83129954664423,7.896834808959854,0.0,20.87678136111982,0.0,
2023-07-17_16-45-23,2023-07-17_16-45-29,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,80.52752685546875,45.00244348144531,-0.003549804687509095,48597.4,7071.0,0.0,24749.6,129.6,0.0,1481.8,0.0,121.40288299706887,7.867655305108378,0.0,62.68939304220452,8.003749121505496,0.0,11.18659912573969,0.0,
2023-07-17_16-45-30,2023-07-17_16-45-35,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,82.36953735351562,45.00244348144531,-0.003549804687509095,48639.4,6230.2,0.0,25029.2,79.6,0.0,1446.2,0.0,111.67166157982965,18.7760485725831,0.0,50.0893202189848,1.0770329614269005,0.0,5.791372894228103,0.0,
2023-07-17_16-45-36,2023-07-17_16-45-41,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,84.21102905273438,45.00244348144531,-0.003549804687509095,48701.4,5656.0,0.0,25201.4,44.8,0.0,1474.8,0.0,150.88293475406687,45.96411643880474,0.0,55.78225524304301,2.477902338672773,0.0,9.50473566176356,0.0,
2023-07-17_16-45-42,2023-07-17_16-45-47,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,86.05303955078125,45.00244348144531,-0.003549804687509095,48887.2,5187.0,0.0,25480.2,19.4,0.0,1524.2,0.0,64.72356603278283,22.700220263248546,0.0,90.65285434005925,1.4696938456699067,0.0,20.30615670184784,0.0,
2023-07-17_16-45-48,2023-07-17_16-45-53,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,87.89556884765625,45.00244348144531,-0.003549804687509095,48738.2,5026.6,0.0,25704.8,7.6,0.0,1568.0,0.0,90.5049169934982,28.20744582552628,0.0,37.9715683110403,0.8124038404635959,0.0,5.830951894845301,0.0,
2023-07-17_16-45-54,2023-07-17_16-46-00,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,89.73809814453125,45.00244348144531,-0.003549804687509095,48788.0,4993.6,0.0,25529.2,8.2,0.0,1539.6,0.0,32.53152317368494,29.520501350756224,0.0,94.92860475114968,2.4979991993593593,0.0,10.865541864076544,0.0,
2023-07-17_16-46-01,2023-07-17_16-46-06,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,91.58010864257812,45.00244348144531,-0.003549804687509095,48754.2,5056.2,0.0,25434.6,21.6,0.0,1503.2,0.0,44.12300987013465,5.4626001134990645,0.0,41.45551832989185,1.8867962264113205,0.0,17.229045243425418,0.0,
2023-07-17_16-46-07,2023-07-17_16-46-12,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,93.422119140625,45.00244348144531,-0.003549804687509095,48867.0,5486.2,0.0,25431.0,42.2,0.0,1485.6,0.0,59.26887884885288,23.420930809854674,0.0,49.002040773829,2.596150997149434,0.0,19.402577148409947,0.0,
2023-07-17_16-46-13,2023-07-17_16-46-18,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,95.26412963867188,45.00244348144531,-0.003549804687509095,48718.0,5948.4,0.0,25203.4,85.6,0.0,1535.4,0.0,124.94118616373065,24.35487630845207,0.0,55.39548718081645,0.9797958971132711,0.0,13.522573719525434,0.0,
2023-07-17_16-46-20,2023-07-17_16-46-25,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,97.10562133789062,45.00244348144531,-0.003549804687509095,48928.6,6784.8,0.0,24831.2,137.4,0.0,1466.4,0.0,87.61655094786602,34.172210932276535,0.0,129.35779837334894,4.770744176750625,0.0,26.38105380760973,0.0,
2023-07-17_16-46-26,2023-07-17_16-46-32,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,98.94866943359375,45.00244348144531,-0.003549804687509095,48789.2,7691.4,0.0,24450.2,196.6,0.0,1452.0,0.0,117.13385505480471,37.15185055956163,0.0,94.95809602135039,5.2687759489277965,0.0,17.032322213955442,0.0,
2023-07-17_16-46-32,2023-07-17_16-46-38,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,100.79067993164062,45.00244348144531,-0.003549804687509095,48635.8,8716.6,0.0,23847.6,264.0,0.0,1394.4,0.0,58.15960797667054,54.85489950770122,0.0,96.01593617728257,3.3015148038438356,0.0,15.272851731094619,0.0,
2023-07-17_16-46-39,2023-07-17_16-46-44,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,102.63217163085938,45.00244348144531,-0.003549804687509095,48669.6,9882.4,0.0,23258.6,346.0,0.0,1367.0,0.0,81.46876702147885,31.272352006205097,0.0,41.362543442104716,8.372574275573792,0.0,16.724233913695418,0.0,
2023-07-17_16-46-45,2023-07-17_16-46-51,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,104.47470092773438,45.00244348144531,-0.003549804687509095,48680.0,11230.8,0.0,22860.8,427.2,0.0,1331.2,0.0,131.72850868357995,52.890830963409904,0.0,55.90295162153784,11.930632841555388,0.0,20.316003544004417,0.0,
2023-07-17_16-46-52,2023-07-17_16-46-57,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,106.31671142578125,45.00244348144531,-0.003549804687509095,48781.2,12491.4,0.0,22059.4,505.8,0.0,1265.6,0.0,61.235120641670974,58.169235855390085,0.0,34.53056616969956,10.475686135046239,0.0,20.597572672526244,0.0,
2023-07-17_16-46-58,2023-07-17_16-47-03,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,108.15872192382812,45.00244348144531,-0.003549804687509095,48861.0,14086.6,0.0,21354.0,614.0,0.0,1220.2,0.0,134.6829610604103,89.71209505969638,0.0,109.4038390551264,11.175866856758807,0.0,24.428262320517195,0.0,
2023-07-17_16-47-04,2023-07-17_16-47-09,5,1,-0.007671875000028194,-0.007533482142832781,3.9927455357142856,0.0,110.00125122070312,45.00244348144531,-0.003549804687509095,48775.6,15674.0,0.0,20677.0,716.4,0.0,1176.2,0.0,114.16593187111468,70.57690840494503,0.0,56.148909161265095,9.479451460923254,0.0,12.98614646459834,0.0,
