start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s)
1686089022.5578468,1686089037.293914,5,3,64.88337053571428,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,28337.13333333334,31480.733333333337,0.0,12507.599999999999,1712.1333333333332,0.0,16.199999999999996,0.0,55.103599398466365,27.19771232209734,0.0,45.69857765839117,3.304206073745662,0.0,1.3482498944104453,0.0
1686089041.6451502,1686089056.3087766,5,3,65.03404017857143,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,28225.533333333333,31314.466666666667,0.0,12603.266666666666,1715.6,0.0,13.733333333333334,0.0,40.9138118488121,60.691991051354776,0.0,38.35324120737527,8.707212846574713,0.0,0.9683892697555966,0.0
1686089060.6668432,1686089077.323238,5,3,65.19224330357143,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,27929.13333333334,30986.6,0.0,12683.866666666669,1701.6,0.0,15.666666666666666,0.0,17.14435443196678,17.09268849537741,0.0,15.592234534465465,7.261313012580206,0.0,0.6749485577105528,0.0
1686089081.672361,1686089096.2924845,5,3,65.35546875,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,27757.4,30793.2,0.0,12879.866666666667,1691.4666666666667,0.0,14.133333333333335,0.0,50.42953279357038,49.10381293183249,0.0,11.533815018842843,8.53528623486705,0.0,0.8981462390204986,0.0
1686089100.6365771,1686089115.4941177,5,3,65.52120535714286,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,27509.4,30423.666666666668,0.0,12923.133333333335,1674.6,0.0,14.066666666666666,0.0,44.59763322070875,40.26261017094887,0.0,13.092661218322956,19.963132686696927,0.0,0.7630348761506396,0.0
1686089119.831281,1686089135.360681,5,3,65.66434151785714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,27305.266666666663,30310.13333333333,0.0,13110.533333333331,1649.8666666666663,0.0,13.466666666666669,0.0,39.93820226299663,49.74754041937931,0.0,12.504488083173223,12.985718651229481,0.0,1.2138094304022085,0.0
1686089139.7238324,1686089154.336225,5,3,65.82254464285714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,27036.666666666664,29990.066666666662,0.0,13260.733333333332,1622.3999999999999,0.0,12.666666666666666,0.0,40.66379771300818,56.62051061428369,0.0,37.734805624987146,9.777184325424855,0.0,1.2560962454277849,0.0
1686089158.6833687,1686089173.4827874,5,3,65.98074776785714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,26820.06666666667,29761.933333333338,0.0,13379.666666666666,1612.0666666666668,0.0,13.066666666666666,0.0,44.97226305673801,49.73936513913739,0.0,27.33394308262979,16.687120782208055,0.0,1.050925518028963,0.0
1686089177.8349218,1686089193.3024588,5,3,66.14146205357143,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,26597.4,29558.06666666667,0.0,13585.066666666666,1604.6,0.0,13.26666666666667,0.0,68.52991236597975,25.14522265207104,0.0,44.8722136244199,14.209699347824179,0.0,1.0077477638553982,0.0
1686089197.6436095,1686089212.380929,5,3,66.29464285714286,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,26335.13333333333,29265.333333333332,0.0,13699.733333333334,1571.2,0.0,13.6,0.0,44.65940239436943,35.491939617014026,0.0,41.01671745899592,6.997301066998769,0.0,0.7180219742846005,0.0
1686089216.7311103,1686089232.4847589,5,3,66.45535714285714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,26155.666666666664,28951.466666666664,0.0,13783.666666666668,1565.2666666666667,0.0,14.666666666666666,0.0,50.1782378681789,40.2917967939986,0.0,22.615874464140777,7.517682858138903,0.0,0.8027729719194863,0.0
1686089236.8398387,1686089252.2992716,5,3,66.60853794642857,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,25889.73333333333,28746.333333333332,0.0,13932.866666666665,1536.5333333333333,0.0,12.466666666666667,0.0,33.353727094750575,48.942142712935656,0.0,25.89864861339292,7.8404931817669,0.0,0.44221663871405337,0.0
1686089256.666361,1686089271.298712,5,3,66.77176339285714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,25628.333333333332,28465.26666666667,0.0,14129.466666666665,1533.7333333333333,0.0,13.133333333333331,0.0,45.49481044886059,34.61444785057246,0.0,23.64802082392697,12.89375387111486,0.0,1.0624918300339485,0.0
1686089275.6348162,1686089290.5342336,5,3,66.92996651785714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,25458.666666666668,28274.0,0.0,14297.866666666665,1514.0666666666666,0.0,12.866666666666665,0.0,50.6324445829399,29.707275577241887,0.0,39.1671063805106,8.787238221168005,0.0,1.1333333333333329,0.0
1686089294.8843503,1686089310.3997612,5,3,67.08314732142857,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,25112.6,28111.0,0.0,14407.2,1482.1333333333334,0.0,13.6,0.0,24.503151724715657,28.38172338358259,0.0,22.72409391910796,13.548513653616112,0.0,0.9392668535736913,0.0
1686089314.7428596,1686089329.3792932,5,3,67.23883928571428,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,24909.000000000004,27669.0,0.0,14571.2,1482.1333333333332,0.0,11.733333333333333,0.0,37.964018052185445,65.96017316869653,0.0,7.3330302967689915,12.622114631779343,0.0,1.347425528760516,0.0
1686089333.7294216,1686089348.431864,5,3,67.40959821428571,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,24702.466666666667,27428.73333333333,0.0,14689.8,1450.1333333333334,0.0,13.4,0.0,23.092952267833873,43.24624582293584,0.0,25.79827728960055,9.08515272298708,0.0,0.5312459150169739,0.0
1686089352.784979,1686089369.016486,5,3,67.56277901785714,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,24678.866666666665,27187.0,0.0,14958.933333333334,1440.6666666666667,0.0,14.666666666666666,0.0,61.02081612040277,58.65662792899035,0.0,42.32957988609541,8.94116572066777,0.0,0.2788866755113587,0.0
1686089373.3527243,1686089388.3232534,5,3,67.71847098214286,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,24330.4,27091.533333333333,0.0,15118.466666666665,1425.5333333333333,0.0,11.933333333333332,0.0,56.58988916366212,69.47746237290029,0.0,37.79926513101088,7.171393789835344,0.0,0.9153020145163985,0.0
1686089392.6613953,1686089408.3077872,5,3,67.869140625,359.5806361607143,4.002790178571429,0.002511160714285714,0.0006152343750045475,9.33837890642053e-05,0.00032958984377273737,359.9964208984375,24192.466666666664,26972.86666666666,0.0,15278.93333333333,1431.4,0.0,12.333333333333332,0.0,21.118343790279802,25.627806079421706,0.0,39.68856538377548,8.593537623638378,0.0,0.7817359599705718,0.0
