W,min_W_prime,eta,chi
[-3.915727436038223e-18],[-0.0004999999165864764],[0.7853981633974483],[0.001]
[-1.4650281855710376e-17],[-0.009318540951663975],[0.7853981633974483],[0.01863816097522356]
[-8.83624770575686e-18],[-0.01813418301972187],[0.7853981633974483],[0.03627632195044712]
[-6.602791230436721e-17],[-0.026944183604061863],[0.7853981633974483],[0.05391448292567068]
[-3.859759734048395e-17],[-0.03574580194295281],[0.7853981633974483],[0.07155264390089423]
[-1.1709383462843445e-17],[-0.04453629988235179],[0.7853981633974483],[0.08919080487611779]
[-5.160802341031e-17],[-0.05331294272773512],[0.7853981633974483],[0.10682896585134136]
[-6.678685382510706e-17],[-0.06207300009485258],[0.7853981633974483],[0.12446712682656491]
[-1.821459649775647e-17],[-0.07081374675914066],[0.7853981633974483],[0.14210528780178847]
[-8.673617379884034e-19],[-0.07953246350353106],[0.7853981633974483],[0.15974344877701202]
[-1.6479873021779664e-17],[-0.08822643796438988],[0.7853981633974483],[0.17738160975223558]
[-2.081668171172168e-17],[-0.0968929654753249],[0.7853981633974483],[0.19501977072745913]
[-2.2551405187698486e-17],[-0.10552934990859834],[0.7853981633974483],[0.2126579317026827]
[-2.2551405187698486e-17],[-0.114132904513883],[0.7853981633974483],[0.23029609267790627]
[-2.2551405187698486e-17],[-0.12270095275410155],[0.7853981633974483],[0.24793425365312982]
[-2.081668171172168e-17],[-0.131230829138088],[0.7853981633974483],[0.26557241462835335]
[-2.081668171172168e-17],[-0.13971988004981345],[0.7853981633974483],[0.28321057560357693]
[-1.3877787807814454e-17],[-0.14816546457391666],[0.7853981633974483],[0.3008487365788005]
[-2.4286128663675293e-17],[-0.15656495531728457],[0.7853981633974483],[0.31848689755402404]
[-1.7347234759768068e-17],[-0.1649157392264249],[0.7853981633974483],[0.3361250585292476]
[-3.4694469519536134e-18],[-0.17321521840037898],[0.7853981633974483],[0.35376321950447115]
[-2.081668171172168e-17],[-0.18146081089891963],[0.7853981633974483],[0.37140138047969473]
[-1.3877787807814454e-17],[-0.1896499515457842],[0.7853981633974483],[0.38903954145491826]
[-6.938893903907227e-18],[-0.19778009272669253],[0.7853981633974483],[0.40667770243014184]
[-6.938893903907227e-18],[-0.2058487051819009],[0.7853981633974483],[0.4243158634053654]
[-6.938893903907227e-18],[-0.21385327879304672],[0.7853981633974483],[0.44195402438058895]
[-6.938893903907227e-18],[-0.2217913233640374],[0.7853981633974483],[0.45959218535581253]
[-6.245004513516504e-17],[-0.2296603693957426],[0.7853981633974483],[0.47723034633103606]
[-2.081668171172168e-17],[-0.23745796885424694],[0.7853981633974483],[0.49486850730625964]
[-2.7755575615628907e-17],[-0.2451816959324249],[0.7853981633974483],[0.5125066682814832]
[-6.938893903907227e-17],[-0.2528291478046016],[0.7853981633974483],[0.5301448292567067]
[-1.3877787807814454e-17],[-0.26039794537406397],[0.7853981633974483],[0.5477829902319303]
[-4.163336342344336e-17],[-0.26788573401318927],[0.7853981633974483],[0.5654211512071539]
[-1.3877787807814454e-17],[-0.27529018429596247],[0.7853981633974483],[0.5830593121823774]
[-1.3877787807814454e-17],[-0.28260899272265255],[0.7853981633974483],[0.600697473157601]
[-5.5511151231257815e-17],[-0.28983988243642334],[0.7853981633974483],[0.6183356341328246]
[-1.3877787807814454e-17],[-0.2969806039316569],[0.7853981633974483],[0.6359737951080481]
[-1.3877787807814454e-17],[-0.3040289357537661],[0.7853981633974483],[0.6536119560832716]
[-4.163336342344336e-17],[-0.31098268519028266],[0.7853981633974483],[0.6712501170584952]
[-1.3877787807814454e-17],[-0.3178396889530022],[0.7853981633974483],[0.6888882780337188]
[-1.3877787807814454e-17],[-0.32459781385097586],[0.7853981633974483],[0.7065264390089423]
[-1.3877787807814454e-17],[-0.3312549574541394],[0.7853981633974483],[0.7241645999841659]
[-4.163336342344336e-17],[-0.3378090487473715],[0.7853981633974483],[0.7418027609593895]
[0.0],[-0.34425804877478017],[0.7853981633974483],[0.759440921934613]
[-2.7755575615628907e-17],[-0.3505999512740149],[0.7853981633974483],[0.7770790829098365]
[-5.5511151231257815e-17],[-0.35683278330040796],[0.7853981633974483],[0.7947172438850602]
[-2.7755575615628907e-17],[-0.36295460584075173],[0.7853981633974483],[0.8123554048602837]
[0.0],[-0.36896351441651776],[0.7853981633974483],[0.8299935658355072]
[-2.7755575615628907e-17],[-0.3748576396763352],[0.7853981633974483],[0.8476317268107308]
[-2.7755575615628907e-17],[-0.3806351479775386],[0.7853981633974483],[0.8652698877859544]
[-2.7755575615628907e-17],[-0.38629424195660905],[0.7853981633974483],[0.8829080487611779]
[-2.7755575615628907e-17],[-0.3918331610883269],[0.7853981633974483],[0.9005462097364014]
[-2.7755575615628907e-17],[-0.397250182233466],[0.7853981633974483],[0.9181843707116251]
[-5.5511151231257815e-17],[-0.4025436201748564],[0.7853981633974483],[0.9358225316868486]
[-2.7755575615628907e-17],[-0.40771182814164975],[0.7853981633974483],[0.9534606926620721]
[-2.7755575615628907e-17],[-0.4127531983216239],[0.7853981633974483],[0.9710988536372956]
[-2.7755575615628907e-17],[-0.4176661623613685],[0.7853981633974483],[0.9887370146125193]
[-5.5511151231257815e-17],[-0.42244919185419394],[0.7853981633974483],[1.0063751755877428]
[-2.7755575615628907e-17],[-0.4271007988156139],[0.7853981633974483],[1.0240133365629662]
[0.0],[-0.4316195361462525],[0.7853981633974483],[1.0416514975381899]
[0.0],[-0.43600399808203116],[0.7853981633974483],[1.0592896585134133]
[-8.326672684688672e-17],[-0.44025282063149856],[0.7853981633974483],[1.076927819488637]
[-2.7755575615628907e-17],[-0.44436468200016277],[0.7853981633974483],[1.0945659804638606]
[-8.326672684688672e-17],[-0.44833830300169686],[0.7853981633974483],[1.112204141439084]
[-2.7755575615628907e-17],[-0.4521724474558909],[0.7853981633974483],[1.1298423024143076]
[-8.326672684688672e-17],[-0.4558659225732219],[0.7853981633974483],[1.1474804633895312]
[0.0],[-0.4594175793259275],[0.7853981633974483],[1.1651186243647547]
[-5.5511151231257815e-17],[-0.4628263128054647],[0.7853981633974483],[1.1827567853399783]
[-1.1102230246251563e-16],[-0.46609106256624283],[0.7853981633974483],[1.200394946315202]
[-2.7755575615628907e-17],[-0.4692108129555248],[0.7853981633974483],[1.2180331072904254]
[-2.7755575615628907e-17],[-0.4721845934293935],[0.7853981633974483],[1.235671268265649]
[-2.7755575615628907e-17],[-0.47501147885468414],[0.7853981633974483],[1.2533094292408724]
[-2.7755575615628907e-17],[-0.47769058979679085],[0.7853981633974483],[1.270947590216096]
[-2.7755575615628907e-17],[-0.4802210927932554],[0.7853981633974483],[1.2885857511913197]
[-2.7755575615628907e-17],[-0.48260220061305464],[0.7853981633974483],[1.306223912166543]
[0.0],[-0.4848331725015055],[0.7853981633974483],[1.3238620731417667]
[-2.7755575615628907e-17],[-0.4869133144107113],[0.7853981633974483],[1.3415002341169904]
[-8.326672684688672e-17],[-0.48884197921547756],[0.7853981633974483],[1.3591383950922138]
[-8.326672684688672e-17],[-0.4906185669146308],[0.7853981633974483],[1.3767765560674374]
[-2.7755575615628907e-17],[-0.4922425248176768],[0.7853981633974483],[1.394414717042661]
[-5.5511151231257815e-17],[-0.4937133477167403],[0.7853981633974483],[1.4120528780178845]
[-5.5511151231257815e-17],[-0.4950305780437343],[0.7853981633974483],[1.4296910389931081]
[0.0],[-0.49619380601270746],[0.7853981633974483],[1.4473291999683318]
[-2.7755575615628907e-17],[-0.4972026697473268],[0.7853981633974483],[1.4649673609435552]
[-2.7755575615628907e-17],[-0.4980568553934571],[0.7853981633974483],[1.4826055219187788]
[0.0],[-0.49875609721679937],[0.7853981633974483],[1.5002436828940022]
[-2.7755575615628907e-17],[-0.4993001776855598],[0.7853981633974483],[1.5178818438692259]
[-5.5511151231257815e-17],[-0.4996889275381231],[0.7853981633974483],[1.5355200048444495]
[-2.7755575615628907e-17],[-0.4999222258357101],[0.7853981633974483],[1.553158165819673]
[-2.7755575615628907e-17],[-0.4999999999999999],[0.7853981633974483],[1.5707963267948966]
