start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-27_15-07-56,2023-06-27_15-08-12,5,3,45.00502232142857,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,46518.73333333333,50295.666666666664,0.0,1960.8,2851.1333333333337,0.0,16.933333333333334,0.0,33.89057555001329,21.06366012301241,0.0,12.148891124524711,8.283584838569427,0.0,0.9510228411791403,0.0,
2023-06-27_15-08-12,2023-06-27_15-08-27,5,3,47.35044642857143,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,45803.53333333333,49564.46666666667,0.0,2280.9333333333334,2787.2666666666664,0.0,17.466666666666665,0.0,27.655740814521266,55.57843306735288,0.0,12.16981694375245,16.436544649043483,0.0,0.5637178175095918,0.0,
2023-06-27_15-08-28,2023-06-27_15-08-43,5,3,49.731026785714285,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,44797.73333333333,48526.4,0.0,2862.3999999999996,2704.5333333333333,0.0,17.133333333333333,0.0,49.43900844025458,52.265497435902255,0.0,12.813794650037671,12.774366694456697,0.0,0.27080128015453214,0.0,
2023-06-27_15-08-43,2023-06-27_15-08-59,5,3,52.086495535714285,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,43252.066666666666,46624.0,0.0,3745.5333333333338,2608.866666666667,0.0,17.73333333333333,0.0,67.26815327065621,64.66950165606966,0.0,22.034972203295357,8.178970323674934,0.0,1.0402991022884822,0.0,
2023-06-27_15-08-59,2023-06-27_15-09-14,5,3,54.464564732142854,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,41014.53333333333,44461.0,0.0,4855.466666666666,2464.0,0.0,17.8,0.0,28.58021848917398,58.04787296323221,0.0,21.793373100810022,9.498537899183289,0.0,0.9285592184789413,0.0,
2023-06-27_15-09-15,2023-06-27_15-09-30,5,3,56.82505580357143,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,38386.4,41713.46666666667,0.0,6243.6,2306.4666666666667,0.0,17.73333333333333,0.0,29.953927585172803,54.84631052110816,0.0,16.511746660416645,7.915245486471749,0.0,1.6309506430300085,0.0,
2023-06-27_15-09-30,2023-06-27_15-09-46,5,3,59.19559151785714,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,35638.26666666666,38683.86666666667,0.0,7701.6,2113.2,0.0,16.266666666666666,0.0,40.22843107388977,53.90481322561898,0.0,29.924608973589233,10.125654985673194,0.0,0.6271629240742259,0.0,
2023-06-27_15-09-46,2023-06-27_15-10-01,5,3,61.566127232142854,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,32380.666666666668,35206.6,0.0,9401.06666666667,1900.2666666666664,0.0,13.466666666666665,0.0,44.23384827632967,59.25044772451627,0.0,9.57102107637661,16.162164321512016,0.0,0.71956777149743,0.0,
2023-06-27_15-10-02,2023-06-27_15-10-17,5,3,63.94168526785714,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,29023.13333333333,31694.8,0.0,11213.333333333332,1675.6666666666665,0.0,13.866666666666665,0.0,67.2911253848195,47.29160132154111,0.0,23.961311409111985,7.6862069824964845,0.0,0.5011098792790969,0.0,
2023-06-27_15-10-17,2023-06-27_15-10-32,5,3,66.30217633928571,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,25532.066666666666,28030.733333333337,0.0,13062.2,1440.1333333333337,0.0,12.6,0.0,41.138033226902884,30.58292915264273,0.0,18.781373751672295,10.200544647768131,0.0,1.1125546178852421,0.0,
2023-06-27_15-10-33,2023-06-27_15-10-48,5,3,68.67271205357143,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,21944.000000000004,24234.4,0.0,14973.4,1220.4666666666667,0.0,10.8,0.0,25.028872216790997,28.080519146831087,0.0,21.70366072552968,10.721525596253107,0.0,0.7195677714974299,0.0,
2023-06-27_15-10-48,2023-06-27_15-11-03,5,3,71.04827008928571,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,18536.799999999996,20587.666666666668,0.0,16735.866666666665,993.8,0.0,10.2,0.0,19.48093084702747,21.0208890815252,0.0,41.39519564179204,6.246421197596092,0.0,0.7195677714974299,0.0,
2023-06-27_15-11-04,2023-06-27_15-11-19,5,3,73.40876116071428,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,15294.06666666667,17121.4,0.0,18542.866666666665,767.5333333333334,0.0,8.466666666666667,0.0,26.036811547414267,16.14255934547586,0.0,27.4012570676767,7.662752624075621,0.0,0.6018490028422596,0.0,
2023-06-27_15-11-20,2023-06-27_15-11-35,5,3,75.78431919642857,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,12375.400000000001,14016.4,0.0,19963.200000000004,581.6000000000001,0.0,8.400000000000002,0.0,17.98870015685784,18.319813196524386,0.0,40.548133262964384,8.308228852569405,0.0,0.4000000000000001,0.0,
2023-06-27_15-11-35,2023-06-27_15-11-51,5,3,78.14481026785714,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,9787.666666666666,11256.933333333332,0.0,21401.86666666667,408.33333333333337,0.0,6.533333333333334,0.0,22.587607221660267,20.125826415053943,0.0,39.00008546999173,4.403281604540966,0.0,1.019803902718557,0.0,
2023-06-27_15-11-51,2023-06-27_15-12-06,5,3,80.51534598214286,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,7622.333333333333,8982.8,0.0,22483.266666666666,261.4,0.0,4.066666666666666,0.0,8.3666002653408,32.8754552144233,0.0,23.30984532099879,5.306599664568641,0.0,0.7408703590297623,0.0,
2023-06-27_15-12-07,2023-06-27_15-12-22,5,3,82.88839285714286,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,5929.733333333333,7171.0,0.0,23518.86666666666,150.46666666666667,0.0,3.7999999999999994,0.0,31.91088285278939,23.89886096774391,0.0,44.52173002528594,3.1913076386403803,0.0,0.5228129047119373,0.0,
2023-06-27_15-12-22,2023-06-27_15-12-38,5,3,85.25641741071428,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,4817.266666666666,5959.266666666666,0.0,24021.066666666666,76.73333333333332,0.0,4.2,0.0,23.077502271933792,21.553396226323297,0.0,42.81399044445358,0.890692614392492,0.0,0.7195677714974301,0.0,
2023-06-27_15-12-38,2023-06-27_15-12-53,5,3,87.609375,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,4229.266666666666,5315.666666666666,0.0,24359.466666666667,34.46666666666666,0.0,2.8,0.0,15.90436697542179,21.036212164318467,0.0,46.20132273238755,2.3981474331473267,0.0,0.44221663871405326,0.0,
2023-06-27_15-12-53,2023-06-27_15-13-09,5,3,89.98995535714286,0.0,4.000279017857142,0.007533482142857143,9.643554687954747e-05,9.33837890642053e-05,0.00032958984377273737,359.998984375,4252.466666666667,5310.333333333334,0.0,24427.4,34.4,0.0,2.933333333333333,0.0,13.260886513016915,17.549612214772424,0.0,16.57286939549104,1.7587874611030554,0.0,0.6182412330330468,0.0,
